,address,listingby,price,beds,baths,sqft,building_type
282,"875 California St #402, San Francisco, CA 94108","Grosvenor Americas, COMPASS, Victoria M. Stewart Davis","$2,320,000",2 bds,2 ba,"1,444 sqft",- New construction
283,"3751 21st St, San Francisco, CA 94114","SOTHEBY'S INTERNATIONAL REALTY, Greg Fulford","$2,195,000",4 bds,4 ba,-- sqft,- House for sale
284,"1146 Florida St, San Francisco, CA 94110","COMPASS, Brendon Kearney","$3,595,000",3 bds,4 ba,"2,954 sqft",- House for sale
285,"50 Oakwood St, San Francisco, CA 94110","COMPASS, Nina Hatvany","$7,850,000",5 bds,5 ba,"4,665 sqft",- House for sale
286,"1345 16th Ave APT 9, San Francisco, CA 94122","COMPASS SF, Lance Fulford","$675,000",1 bd,1 ba,691 sqft,- Condo for sale
287,"1834 Mason St, San Francisco, CA 94133","COMPASS, John C. Farnham","$1,695,000",2 bds,2 ba,"1,594 sqft",- Condo for sale
288,"260 King St UNIT 457, San Francisco, CA 94107","KELLER WILLIAMS SAN FRANCISCO, Miyuki Mia Takami","$949,000",1 bd,2 ba,"1,104 sqft",- Condo for sale
289,"44 Stonecrest Dr, San Francisco, CA 94132",NaN,"$3,386,000",4 bds,5 ba,"4,084 sqft",- House for sale
290,"310 Townsend St APT 206, San Francisco, CA 94107","MOSAIK REAL ESTATE, Ashley C. Petty","$699,000",1 bd,1 ba,689 sqft,- Condo for sale
291,"555 Golden Gate Ave #6G, San Francisco, CA 94102","JS SULLIVAN SALES AND MARKETIN, Loring M. Aguillon-Racine","$879,000",2 bds,1 ba,834 sqft,- New construction
292,"1324 Clement St #1326, San Francisco, CA 94118","RE/MAX GOLD DALY CITY, Beatrice S. Kopilenko","$1,888,000",4 bds,3 ba,"3,334 sqft",- Multi-family home for sale
